trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'a': 0.773520649835054, 'e': 0.9507339939159734}",20,0,-43.53135135699907,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
102,False,"{'a': 0.773502051622836, 'e': 0.9488262990829084}",30,0,-146.0103432018616,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
103,False,"{'a': 0.7734841826569498, 'e': 0.9468488636019363}",20,0,-30.141057171750713,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
104,False,"{'a': 0.7734670143432378, 'e': 0.9447994622170657}",30,0,-128.47368121308386,"{0: 15, 1: 8, 2: 4, 3: 3, 4: 0}",0
105,False,"{'a': 0.7734505192087353, 'e': 0.9426758241011313}",20,0,-114.22227255660367,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
106,False,"{'a': 0.7734346708577079, 'e': 0.9404756340234984}",20,0,-119.09014252192345,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
107,False,"{'a': 0.7734194439294128, 'e': 0.9381965337364114}",25,0,-153.37683258679698,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
108,False,"{'a': 0.773404814057516, 'e': 0.935836123594826}",20,0,-38.65780703738419,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
109,False,"{'a': 0.7733907578311016, 'e': 0.9333919644249093}",20,0,-84.78447013597138,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
110,False,"{'a': 0.7733772527572081, 'e': 0.9308615796566532}",25,3,-156.61406111984024,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 2}",1
111,False,"{'a': 0.7733642772248365, 'e': 0.9282424577362487}",25,0,-94.24916454035125,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
112,False,"{'a': 0.7733518104703664, 'e': 0.9255320548339719}",25,0,-136.86144242999353,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
113,False,"{'a': 0.773339832544331, 'e': 0.9227277978633401}",25,0,-83.43611515698869,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
114,False,"{'a': 0.7733283242794933, 'e': 0.9198270878271877}",25,0,-150.61421634029148,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
115,False,"{'a': 0.7733172672601741, 'e': 0.9168273035060776}",20,0,-114.32867572077603,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
116,False,"{'a': 0.7733066437927838, 'e': 0.9137258055040833}",30,0,-141.72177429458353,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
117,False,"{'a': 0.773296436877508, 'e': 0.9105199406664386}",25,0,-80.34205727370063,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
118,False,"{'a': 0.7732866301811048, 'e': 0.907207046882843}",30,0,-221.5966362169459,"{0: 14, 1: 3, 2: 8, 3: 3, 4: 2}",0
119,False,"{'a': 0.7732772080107675, 'e': 0.9037844582893072}",25,0,-102.62011067769424,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
120,False,"{'a': 0.7732681552890136, 'e': 0.9002495108803149}",20,0,-21.833173448833644,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
121,False,"{'a': 0.7732594575295568, 'e': 0.8965995485417504}",30,0,-152.4502092450269,"{0: 17, 1: 6, 2: 4, 3: 1, 4: 2}",0
122,False,"{'a': 0.7732511008141265, 'e': 0.8928319295134718}",20,5,-29.968278395915153,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
123,False,"{'a': 0.773243071770195, 'e': 0.8889440332885924}",20,7,-39.090599095028615,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
124,False,"{'a': 0.7732353575495792, 'e': 0.8849332679544502}",25,0,-114.93399185655464,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
125,False,"{'a': 0.7732279458078801, 'e': 0.8807970779778824}",20,13,-56.60656984563279,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 1}",1
126,False,"{'a': 0.77322082468473, 'e': 0.876532952434776}",25,4,-54.424606843809464,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 0}",1
127,False,"{'a': 0.7732139827848125, 'e': 0.8721384336809187}",20,0,-87.09040095556104,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
128,False,"{'a': 0.7732074091596279, 'e': 0.8676111264579346}",30,0,-93.6918483200266,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
